metric,fit_count,holdout_count,pearson,model_mae,constant_mae,persistence_mae,target_value,observed_future_w1
contact_mean,9403,2352,0.85729345481508,0.15650141228974712,0.316025714991855,0.1301058323002186,,0.15390532825468425
lag2,9403,2352,-0.006440197444369866,,0.12437894732865167,0.18600559551072254,-0.030646543949842453,
lag4,9403,2352,-0.0032579109781752016,,0.14748815199532395,0.22181829285933435,-0.008024661801755428,
