segment,q_internal_deformation,observed_internal_velocity
1,-0.8602785159089097,-0.40612953084313713
2,-0.6476971753376659,-0.3745916560768102
3,-0.3646826427605909,-0.3052264783370591
4,-0.16245374926242268,-0.24497194707361283
