lag,sample_count,intercept,slope,pearson,fit_mae,constant_mae
1,11759,-0.354448047168637,0.1314157022163958,0.13912471219790953,0.09741581930125791,0.09820759
2,11759,-0.03183983682296103,0.0027268134062763834,0.0029565270929146578,0.12393652076746828,0.12393661
4,11759,-0.007228434942501817,-0.00029163729215390727,-0.00032842848650871176,0.14420536724382976,0.14420596
8,11759,-0.0038543465723660554,-0.016360645773773986,-0.02286082398566017,0.24797776316728196,0.24805504
