production_epoch,inherited_epoch,updates_in_epoch,cumulative_updates,cfm_prefixes,rollout_prefixes,learning_rate,training_cfm,training_total,validation_cfm,epoch_seconds,converged
1,2,1536,1984,6144,384,0.0001,3.154602299032073,3.192587182925005,4.853841856044407,11853.755834480282,False
2,3,1536,3520,6144,384,0.0001,3.008786076975715,3.0440108390976093,4.823947660702591,11601.905102250166,False
3,4,1536,5056,6144,384,3e-05,2.750035350950687,2.791202292809127,4.351812778467623,11641.974717295729,False
