component,weight,mean_weighted_value,mean_gradient_norm
coordinate,1.0,1.0181065741926432,9.27689266204834
velocity_vector,1.6264193256395099,1.0062748254276812,0.7784980535507202
atom_rmsf,0.025923584302016297,0.021603058208711445,0.252353698015213
speed_w1,0.1444,0.1277642126660794,0.6255847811698914
contact_transition,0.7997,0.025563765440892894,0.46368131041526794
multi_lag_velocity_correlation,0.07756317222880772,0.0013425142651612987,0.049424152821302414
