id,tier,frames,qmem_generation_seconds,qmem_cold_generation_seconds,qmem_replay_seconds,neuralmd_cpu_generation_seconds,neuralmd_cpu_cold_seconds
6RQK,T1,10,10.781682381872088,11.388510054908693,8.960433807224035,0.14558771904557943,1.9711412019096315
1FHR,T2,20,34.563875218853354,36.091578274033964,30.573305485304445,0.33281862223520875,2.158372105099261
5O7E,T3,80,46.53207788802683,47.94215482380241,41.91330501623452,0.5259256768040359,2.351479159668088
6QDX,T1,10,16.797207364346832,18.207348274532706,11.774385144934058,0.10840486595407128,1.9339583488181233
6G0Z,T2,20,20.16771666193381,21.583455476909876,14.899064263794571,0.12324135517701507,1.9487948380410671
6E86,T3,80,487.6375618111342,489.1600273405202,491.1599013269879,0.5492464629933238,2.374799945857376
5UBG,T1,10,12.857965133152902,14.270207143388689,13.071601377800107,0.09444111306220293,1.919994595926255
5MKA,T2,20,34.40154308779165,35.80900237895548,34.49262844724581,0.3979736780747771,2.223527160938829
6IIK,T3,80,68.65345983626321,70.06797308055684,68.33590719476342,0.7361885020509362,2.5617419849149883
2FQT,T1,10,13.806062099058181,15.327033386565745,13.651491248980165,0.05720741720870137,1.8827609000727534
5D3X,T2,20,13.58379407832399,14.988136779516935,13.425458000972867,0.09747864305973053,1.9230321259237826
6A87,T3,80,45.26375613268465,46.673248916864395,44.8318992909044,0.31941303703933954,2.1449665199033916
6E13,T1,10,10.40486827865243,11.819392417091876,10.460619832389057,0.08944691391661763,1.9150003967806697
5SYM,T2,20,24.60992700792849,26.12910108221695,24.39907492417842,0.12202667677775025,1.9475801596418023
5C3P,T3,80,35.76506136870012,37.172848073765635,36.524362187832594,0.37578822718933225,2.2013417100533843
6AR2,T1,10,11.222680600825697,12.630148831289262,10.945128914434463,0.06825181096792221,1.8938052938319743
2F10,T2,20,18.30464382795617,19.715471136383712,18.399159824009985,0.12866577366366982,1.9542192565277219
2LY0,T3,80,74.80167994042858,76.32387484563515,79.0882445378229,0.3143017841503024,2.1398552670143545
2GVV,T1,10,9.112096128053963,10.517897111363709,8.917019552085549,0.04963999195024371,1.8751934748142958
3A1C,T2,20,18.514240098185837,19.923465529922396,17.982020262163132,0.17786995694041252,2.0034234398044646
5XO7,T3,80,66.00599161628634,67.42483249213547,66.75717126112431,0.6229405701160431,2.448494052980095
4Z88,T1,10,23.560267829801887,25.079214996192604,23.289843373000622,0.10546427499502897,1.931017757859081
3OKC,T2,20,15.902177526149899,17.30908842338249,15.617924660909921,0.13810242619365454,1.9636559090577066
5UV1,T3,80,55.88718178961426,57.30919093452394,57.165351788979024,0.6431045369245112,2.4686580197885633
4D4D,T1,10,11.183099299203604,12.595226210076362,11.11345956614241,0.06088441191241145,1.8864378947764635
4UAU,T2,20,23.068926377221942,24.585932467598468,22.29339459678158,0.09306580107659101,1.918619283940643
4LIL,T3,80,34.719726250041276,36.126785489264876,35.42783402092755,0.41940483916550875,2.244958322029561
6IRT,T1,10,10.137987182941288,11.55065968958661,10.115530704148114,0.1452921498566866,1.9708456327207386
5NWH,T2,20,19.46490668086335,20.880506370216608,18.761465983930975,0.15392870223149657,1.9794821850955486
1SWI,T3,80,62.30325606139377,63.821740850806236,57.79871031315997,0.1887495256960392,2.0143030085600913
1F9G,T1,10,9.825930899009109,11.237403256818652,9.36253827996552,0.10595092829316854,1.9315044111572206
6HQ7,T2,20,18.619572256226093,20.03433189401403,18.906710990238935,0.2470065150409937,2.0725599979050457
6KNH,T3,80,45.32508673099801,46.74378205789253,45.60532135795802,0.8771460228599608,2.702699505724013
3E3C,T1,10,14.631605122704059,16.15175884589553,14.817429139278829,0.04792525293305516,1.8734787357971072
3R24,T2,20,19.27274482510984,20.681850688066334,18.52748768404126,0.1442928621545434,1.9698463450185955
4B4Q,T3,80,82.19538703700528,83.60793677484617,82.09853144688532,0.9126130160875618,2.738166498951614
5NW7,T1,10,9.461709161289036,10.87799857975915,9.142741068266332,0.06707149604335427,1.8926249789074063
2VCB,T2,20,34.494233350269496,36.023728345520794,33.85951453819871,0.23535142792388797,2.06090491078794
2POQ,T3,80,45.337756542954594,46.752080651931465,45.12424765760079,0.6585600920952857,2.4841135749593377
4POP,T1,10,8.624130120035261,10.030476837884635,8.471976345870644,0.04525424866005778,1.8708077315241098
5CSD,T2,20,16.184085426852107,17.593091358896345,16.037126801908016,0.07641344284638762,1.9019669257104397
2YAZ,T3,80,91.60920002870262,93.16474143508822,92.05217624502257,0.6310418518260121,2.456595334690064
3IL5,T1,10,11.642517367843539,13.05368605768308,11.507914743386209,0.10315029788762331,1.9287037807516754
1P28,T2,20,11.319392875768244,12.722646294627339,11.187067236285657,0.05254007410258055,1.8780935569666326
2LBV,T3,80,56.833828314673156,58.2454578881152,56.79609264200553,0.36124031618237495,2.186793799046427
5J4N,T1,10,17.30892961891368,18.837084983009845,17.11564153106883,0.1443280610255897,1.9698815438896418
5DV4,T2,20,25.701257980428636,27.112688698340207,24.526472573168576,0.15240783896297216,1.9779613218270242
1UZ4,T3,80,44.26069978810847,45.672241809777915,43.05438816500828,0.46580782998353243,2.2913613128475845
5CPR,T1,10,9.090107876807451,10.504093921743333,8.80478920508176,0.05153184710070491,1.877085329964757
6B4H,T2,20,26.737039721105248,28.260555047076195,27.13884114008397,0.16455684090033174,1.9901103237643838
4YMH,T3,80,63.82496474124491,65.23675188561901,63.526468695141375,0.5944090681150556,2.4199625509791076
4AQ4,T1,10,8.844985242001712,10.252548294141889,8.520617293193936,0.06622641766443849,1.8917799005284905
6GDY,T2,20,13.197782375849783,14.610583289060742,12.869644138030708,0.1951193129643798,2.020672795828432
4JGV,T3,80,94.2106143697165,95.75792741589248,96.27323855273426,0.5405168691650033,2.3660703520290554
2QPU,T1,10,12.618834738619626,14.0282056867145,12.316199249587953,0.07803794695064425,1.9035914298146963
6NAF,T2,20,14.465928086079657,15.870033003389835,14.05740460101515,0.08690776815637946,1.9124612510204315
2OYM,T3,80,59.44872858701274,60.86354853818193,58.874456921592355,0.5369052439928055,2.3624587268568575
4Y4V,T1,10,18.51266137091443,20.044332827441394,17.64932757616043,0.07566698035225272,1.9012204632163048
6H78,T2,20,18.195448707789183,19.60625423816964,17.819486149121076,0.17478241678327322,2.0003358996473253
4C1Y,T3,80,50.81945074396208,52.2378960326314,49.13571751397103,0.590046230237931,2.415599713101983
5KDE,T1,10,10.93383867898956,12.350130293983966,10.55236768303439,0.09328845329582691,1.918841936159879
1BO5,T2,20,35.39456272823736,36.92975030886009,36.384496696759015,0.7582091060467064,2.5837625889107585
5OHY,T3,80,51.944396529812366,53.35875206626952,50.80333821894601,0.645496719982475,2.471050202846527
6MI6,T1,10,11.038715382572263,12.445237409789115,10.923143124207854,0.06139397108927369,1.8869474539533257
1R6N,T2,20,16.48208098206669,17.892193655949086,15.868911980185658,0.2792725460603833,2.1048260289244354
5HFJ,T3,80,129.1425256198272,130.6741722021252,125.75233447691426,1.0061171217821538,2.831670604646206
2WSX,T1,10,12.148076239041984,13.567235250025988,12.082814303226769,1.0924466028809547,2.918000085745007
3HB4,T2,20,23.81601504329592,25.227730631362647,23.926711811684072,0.33649057568982244,2.1620440585538745
3ZZF,T3,80,60.96186582976952,62.38321631681174,59.36033657193184,2.500066589564085,4.325620072428137
4CD1,T1,10,19.878219119273126,21.40152599476278,19.641286657191813,0.1484042638912797,1.9739577467553318
5VQE,T2,20,13.62754875374958,15.034156563691795,13.539956223219633,0.28461371222510934,2.1101671950891614
1QFT,T3,80,35.387519320007414,36.79528788803145,34.187000441830605,0.4827021057717502,2.3082555886358023
3NRZ,T1,10,11.646442910190672,13.072696015238762,11.547739137895405,1.465510442852974,3.291063925717026
5CW8,T2,20,40.952804361935705,42.495349620468915,39.18552064988762,0.3379178452305496,2.1634713280946016
1SYO,T3,80,53.95351918321103,55.37365930248052,52.87138049211353,1.5981618999503553,3.4237153828144073
2VMD,T1,10,10.087631267029792,11.498863753397018,9.858716710004956,0.16767566092312336,1.9932291437871754
5L13,T2,20,21.838801506906748,23.255517933517694,21.309484226163477,0.47496035508811474,2.300513837952167
2XGS,T3,80,109.45926753105596,111.00277094263583,108.80260509438813,1.283702281769365,3.109255764633417
6TL2,T1,10,9.54113880963996,10.948553120717406,9.277853055857122,0.1469607870094478,1.9725142698734999
4LH3,T2,20,14.43650414282456,15.849532429128885,14.365377427078784,0.46702137496322393,2.292574857827276
2YMT,T3,80,66.80475687608123,68.22016777703539,67.01966223493218,1.0778045319020748,2.903358014766127
5B4W,T1,10,54.94208040414378,56.48714094655588,54.47886679787189,0.585706845857203,2.411260328721255
6HK6,T2,20,17.360371670220047,18.767984887585044,17.15639767423272,0.2772583211772144,2.1028118040412664
6H9X,T3,80,82.16060732863843,83.58326444867998,81.65628600399941,1.607942990027368,3.43349647289142
4CS9,T1,10,10.94336136803031,12.358391440007836,10.385425563901663,0.17932571610435843,2.0048791989684105
3P2E,T2,20,29.563386077061296,31.08661904418841,29.513788835145533,0.17892203433439136,2.0044755171984434
6SY7,T3,80,49.346473310142756,50.758173453621566,48.91780709568411,1.1014225529506803,2.9269760358147323
3AY0,T1,10,9.01680659595877,10.425428834743798,8.910889202263206,0.11442460492253304,1.939978087786585
2VC9,T2,20,24.51310817617923,25.932174592278898,19.086396981962025,0.4525949889793992,2.2781484718434513
1NNU,T3,80,103.99480053782463,105.5362095409073,103.39793858723715,1.2142229303717613,3.0397764132358134
