split,tier,method,metric,mean,median,standard_deviation,systems
truth90_validation,all,QField-Dyn,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_320.0ps,0.15176988573378647,0.13859495767390506,0.1000988955046696,90
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_320.0ps,0.2708443033705814,0.27344582356701475,0.13490446407531959,90
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_320.0ps,0.15102931351591536,0.11568244774615966,0.12713737833855482,90
truth90_validation,all,QField-Dyn,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_640.0ps,0.15074726641996175,0.14102272727272727,0.0958940409312183,90
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_640.0ps,0.2733889226604114,0.26535087719298245,0.14281729238121302,90
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_640.0ps,0.15205994718741841,0.12122319688109164,0.12491783889069158,90
truth90_validation,all,QField-Dyn,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_80.0ps,0.1475471434399781,0.13472983822750645,0.09630385450091633,90
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_80.0ps,0.26356020026438853,0.26034858387799564,0.13163270583706277,90
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.joint_occurrence_mae_lag_80.0ps,0.14855511608226268,0.10658485740689003,0.12536732296380143,90
truth90_validation,all,QField-Dyn,Dyn.contacts.observed_pocket.predicted_contact_fraction,0.6180671346855012,0.626969696969697,0.10076801713892974,90
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.predicted_contact_fraction,0.5827746534940722,0.6225672877846791,0.16714548446733768,90
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.predicted_contact_fraction,0.6468880345714728,0.6401923076923077,0.10345434643153498,90
truth90_validation,all,QField-Dyn,Dyn.contacts.observed_pocket.residues,20.08888888888889,20.0,5.89161362540952,90
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.residues,20.08888888888889,20.0,5.89161362540952,90
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.residues,20.08888888888889,20.0,5.89161362540952,90
truth90_validation,all,QField-Dyn,Dyn.contacts.observed_pocket.true_contact_fraction,0.6170682084048484,0.624135375494071,0.13637077571726208,90
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.true_contact_fraction,0.6170682084048484,0.624135375494071,0.13637077571726208,90
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.true_contact_fraction,0.6170682084048484,0.624135375494071,0.13637077571726208,90
truth90_validation,all,QField-Dyn,Dyn.contacts.retention.generated_right_censored_fraction,0.5626025347650062,0.6041666666666667,0.2517305129929504,90
truth90_validation,all,Linear,Dyn.contacts.retention.generated_right_censored_fraction,0.5915936805637639,0.6833333333333333,0.3264571714385896,90
truth90_validation,all,NeuralMD,Dyn.contacts.retention.generated_right_censored_fraction,0.9676878354392152,1.0,0.06481263590149604,90
truth90_validation,all,QField-Dyn,Dyn.contacts.retention.generated_span_ps,1734.8119613730241,1094.0,1534.4026703743411,90
truth90_validation,all,Linear,Dyn.contacts.retention.generated_span_ps,1792.5443575176828,1343.111111111111,1337.5822429469772,90
truth90_validation,all,NeuralMD,Dyn.contacts.retention.generated_span_ps,2858.090471535049,1600.0,2401.7018529136276,90
truth90_validation,all,QField-Dyn,Dyn.contacts.retention.span_mae_ps,748.9579328691099,312.5,863.8628287522391,90
truth90_validation,all,Linear,Dyn.contacts.retention.span_mae_ps,1106.926873158582,338.0952380952381,1258.6512186035607,90
truth90_validation,all,NeuralMD,Dyn.contacts.retention.span_mae_ps,1134.9109850890218,359.72222222222223,1420.0054618487904,90
truth90_validation,all,QField-Dyn,Dyn.contacts.retention.true_right_censored_fraction,0.5814937289095992,0.6201923076923077,0.2615955080307321,90
truth90_validation,all,Linear,Dyn.contacts.retention.true_right_censored_fraction,0.5814937289095992,0.6201923076923077,0.2615955080307321,90
