split,tier,reference,metric,systems,mean_difference,median_difference,lower_fraction,equal_fraction,ci95_low,ci95_high
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.predicted_contact_fraction,90,-0.02882089988597162,-0.023958333333333304,0.6777777777777778,0.022222222222222223,-0.043364088791406546,-0.014227600282539492
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.residues,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.residues,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.contacts.observed_pocket.true_contact_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.contacts.observed_pocket.true_contact_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.contacts.retention.generated_right_censored_fraction,90,-0.028991145798757854,0.0,0.45555555555555555,0.15555555555555556,-0.09448409718551086,0.03745775132536193
truth90_validation,all,NeuralMD,Dyn.contacts.retention.generated_right_censored_fraction,90,-0.405085300674209,-0.375,0.9666666666666667,0.03333333333333333,-0.45276921796771935,-0.3605871812100233
truth90_validation,all,Linear,Dyn.contacts.retention.generated_span_ps,90,-57.73239614465891,-104.28571428571428,0.6666666666666666,0.044444444444444446,-291.997915092864,180.26566161176953
truth90_validation,all,NeuralMD,Dyn.contacts.retention.generated_span_ps,90,-1123.2785101620252,-382.8888888888889,0.9666666666666667,0.03333333333333333,-1431.4321627749691,-841.3489346483242
truth90_validation,all,Linear,Dyn.contacts.retention.span_mae_ps,90,-357.96894028947247,-45.07936507936509,0.6333333333333333,0.044444444444444446,-516.5672082962664,-199.52829210722885
truth90_validation,all,NeuralMD,Dyn.contacts.retention.span_mae_ps,90,-385.9530522199119,-45.94871794871794,0.6,0.03333333333333333,-577.7872403620768,-214.1775561061974
truth90_validation,all,Linear,Dyn.contacts.retention.true_right_censored_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.contacts.retention.true_right_censored_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.contacts.retention.true_span_ps,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.contacts.retention.true_span_ps,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.correlations.160.0ps.absolute_error,90,-0.8693995842003406,-0.8994273944716471,1.0,0.0,-0.9011486370444994,-0.8374888128961636
truth90_validation,all,NeuralMD,Dyn.correlations.160.0ps.absolute_error,90,-0.8692346246328978,-0.8990873688665533,1.0,0.0,-0.9005346609241374,-0.8363208248839344
truth90_validation,all,Linear,Dyn.correlations.160.0ps.predicted,90,-0.9821387132640997,-0.9665148835770112,1.0,0.0,-1.0093958463303445,-0.9557003168907846
truth90_validation,all,NeuralMD,Dyn.correlations.160.0ps.predicted,90,-0.981973753696657,-0.9663782383990933,1.0,0.0,-1.0092617165295836,-0.9551178630052568
truth90_validation,all,Linear,Dyn.correlations.160.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.correlations.160.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.correlations.320.0ps.absolute_error,90,-0.841754289974899,-0.8766396007832856,1.0,0.0,-0.8749883381123366,-0.8053434299070604
truth90_validation,all,NeuralMD,Dyn.correlations.320.0ps.absolute_error,90,-0.841485984340316,-0.8761710721486248,1.0,0.0,-0.8757536875805945,-0.8056008242526036
truth90_validation,all,Linear,Dyn.correlations.320.0ps.predicted,90,-0.9447400664267358,-0.9579342637443429,1.0,0.0,-0.9751168267835777,-0.9128573218503226
truth90_validation,all,NeuralMD,Dyn.correlations.320.0ps.predicted,90,-0.9444717607921528,-0.9575987497402607,1.0,0.0,-0.9744158777978524,-0.9144757506595567
truth90_validation,all,Linear,Dyn.correlations.320.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.correlations.320.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.correlations.640.0ps.absolute_error,90,-0.8176705199353619,-0.8933565677228087,1.0,0.0,-0.8632223961549997,-0.7685529861133643
truth90_validation,all,NeuralMD,Dyn.correlations.640.0ps.absolute_error,90,-0.8171637164000634,-0.8933319273560384,1.0,0.0,-0.864732641144204,-0.7680829169442541
truth90_validation,all,Linear,Dyn.correlations.640.0ps.predicted,90,-0.9601763757111155,-0.9751488602940793,1.0,0.0,-1.0014569482525755,-0.9136619116137049
truth90_validation,all,NeuralMD,Dyn.correlations.640.0ps.predicted,90,-0.9596695721758169,-0.9748836397059517,1.0,0.0,-1.0037940196015698,-0.9126409873758373
truth90_validation,all,Linear,Dyn.correlations.640.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.correlations.640.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.correlations.80.0ps.absolute_error,90,-1.2818547512176397,-1.3038587115832274,1.0,0.0,-1.3125481701107922,-1.2484908572495783
truth90_validation,all,NeuralMD,Dyn.correlations.80.0ps.absolute_error,90,-1.2817005467130347,-1.303690014131871,1.0,0.0,-1.3138511439408482,-1.2496061999409738
truth90_validation,all,Linear,Dyn.correlations.80.0ps.predicted,90,-1.4830381526806282,-1.4984357032723588,1.0,0.0,-1.5026188186292018,-1.4639116286754006
truth90_validation,all,NeuralMD,Dyn.correlations.80.0ps.predicted,90,-1.4828839481760239,-1.4983757209838937,1.0,0.0,-1.5012807278944427,-1.4619506425232953
truth90_validation,all,Linear,Dyn.correlations.80.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.correlations.80.0ps.truth,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.displacement_variogram,90,-0.017499239302644715,-0.0562917506361514,0.7333333333333333,0.0,-0.0623504559646865,0.0443583850397583
truth90_validation,all,NeuralMD,Dyn.displacement_variogram,90,-0.6548514777796592,-0.5739377351051513,1.0,0.0,-0.7356260516968178,-0.5847096027260321
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_160.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_160.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_160.0ps.mae,90,-0.004048462074949639,-0.0049541697657476645,0.6888888888888889,0.0,-0.009224638691453771,0.0006421261883464614
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_160.0ps.mae,90,-0.0059222261003017,-0.006704702319471586,0.7333333333333333,0.0,-0.0110500147192449,-0.0011921219969310665
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_320.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
